textid,sentenceID,activityID,Activity,resource,object,gsClass
p1,2,4,discuss the problem,customer,Resource - [the] problem,0
p1,4,6,explain the solution,customer,Resource - [the] solution,0
p1,5,7,conduct the problem,customer,Resource - [the] problem,0
p1,10,12,call the service provider,customer,Actor - [the] [service] provider,0
p10,2,3,process the seat availabilty,customer,Resource - [the] seat,0
p10,6,7,check the rejection notification,customer,Resource - the,0
p100,0,1,receive the goods,,Resource - [the] goods,0
p100,1,2,check the goods,,Resource - [the] goods,0
p100,10,11,identify the issue,,Meta-Actor - [the] issue,0
p100,11,12,return the goods,,Resource - [the] goods,0
p100,12,13,prepare the inspection list,,Resource - [the] [inspection] list,0
p101,2,2,package the goods,worker,Resource - [the] goods,0
p101,3,3,decide the normal order,worker,Meta-Actor - [the] [normal] order,0
p101,3,4,decide special shipment,worker,Resource - [special] shipment,0
p101,5,5,find the special carrier,worker,Meta-Actor - [the] [special] carrier,0
p101,6,6,assign the carrier,worker,Meta-Actor - [the] carrier,0
p101,7,7,prepare the paperwork,worker,Resource - [the] paperwork,0
p101,8,8,finalize the shipment,worker,Resource - [the] shipment,0
p101,9,9,find the normal post,worker,Resource - [the] [normal] post,0
p101,10,11,check extra insurrance,worker,Resource - [extra] insurrance,0
p101,11,12,find the extra insurance to require ,worker,Resource - [the] [extra] insurance,0
p101,12,13,fill out form,worker,Meta-Actor - form,0
p101,14,16,add the paper work,worker,Resource - [the] [paper] work,0
p101,15,17,move the package,worker,Resource - [the] package,0
p102,0,1,decide a menu,food supplier,Resource - [a] menu,0
p102,0,2,decide budgets,food supplier,Resource - budgets,0
p102,1,3,prepare the order list,food supplier,Resource - [the] [order] list,0
p102,4,6,check the availability,food supplier,Resource - [the] availability,0
p102,8,9,find the available order,food supplier,Meta-Actor - [the] [available] order,0
p102,9,10,collect the items,food supplier,Resource - [the] items,0
p102,18,15,starts the cooking,food supplier,Resource - [the] cooking,0
p102,20,16,dispatch the order,food supplier,Meta-Actor - [the] order,0
p103,1,2,check the status,manufacturer,Resource - [the] status,0
p103,4,3,reserve the inventory,manufacturer,Resource - [the] inventory,0
p103,5,4,find the available address,manufacturer,Resource - [the] [available] address,0
p103,6,5,validate the address,manufacturer,Resource - [the] address,0
p103,7,7,review the order,manufacturer,Meta-Actor - [the] order,0
p103,10,10,check the other requirments,manufacturer,Resource - [the] [other] requirments,0
p103,11,11,reject the order,manufacturer,Meta-Actor - [the] order,0
p103,13,14,fulfil the order,manufacturer,Meta-Actor - [the] order,0
p103,18,19,create the code,manufacturer,Resource - [the] code,0
p103,19,21,plan the shipment,manufacturer,Resource - [the] shipment,0
p103,21,24,complete the order,manufacturer,Meta-Actor - [the] order,0
p104,1,1,get the model requirments,analyst,Resource - [the] [model] requirments,0
p104,5,4,list the requirments,analyst,Resource - [the] requirments,0
p104,6,5,verify the requirments,analyst,Resource - [the] requirments,0
p104,9,7,reject the requirments,analyst,Resource - [the] requirments,0
