textid,sentenceID,activityID,activity,resource,GS
model2-2,22,35,accept ,customer,0
bicyclemanufacturing,2,4,accept the order,small company,0
runningexample,2,4,accept the order,small company,0
model9-3,0,1,add draft dates to calendars,coordination unit,0
model4-1,22,34,add information to the assignment list,secretarial worker,0
model4-1,13,14,add new patient,secretarial worker,0
model4-1,32,49,add standard checklist to the patient s,secretarial worker,0
model4-1,27,43,add the copy to the patient file,secretarial worker,0
model4-1,35,53,add the information to the patient file,secretarial worker,0
model8-1,1,1,advertise post,functional department,0
model9-4,1,4,advise committee members,support,0
model2-2,11,17,analyze the causing issues,customer,0
model2-1,15,28,analyze this,customer,0
model8-1,1,2,apply ,functional department,0
model8-3,2,4,approve the job description,number,0
model5-1,2,4,approve the loan,customer,0
model5-2,2,4,approve the request,employee,0
model5-3,2,4,approve the request,employee,0
model9-2,2,5,archive the work,customer service representative,0
model1-4,8,16,arrange a road show to talk to potential investors,company,0
model8-3,2,3,ask again for corrections,number,0
model6-4,6,10,ask the customer,potential customers,0
bicyclemanufacturing,10,16,assemble the bicycle,small company,0
runningexample,10,15,assemble the bicycle,small company,0
model4-1,16,17,assign new patients to members,secretarial worker,0
model4-1,17,18,assign patient to a social-medical worker,secretarial worker,0
hotelservice,5,8,assign the order to the waiter,guest,0
model3-1,5,9,attach the new sct document,party,0
model1-4,7,15,begin to firm up the issue price,company,0
model1-2,0,0,bring in a defective computer,customer,0
model6-4,2,1,buy details,potential customers,0
model1-4,2,6,buy the issue,company,0
model7-1,3,3,call customer,manager,0
hotelservice,1,1,call room service,guest,0
model6-4,3,5,call the customer,potential customers,0
model6-4,12,16,call the customer,potential customers,0
model7-1,6,6,call the next customer,manager,0
model3-5,6,8,capture the matter details,mail processing unit,0
model3-5,8,13,capture the party details,mail processing unit,0
model2-2,18,28,carry out the termination,customer,0
repairexample,4,6,categorize defect,company,0
repairexample,5,7,categorize defects,company,0
model3-3,2,3,check recommendation,claims officer,0
model2-2,16,23,check switch-over request,customer,0
model2-1,13,26,check that,customer,0
model8-1,1,3,check the applications,functional department,0
model3-6,7,10,check the claimant again,organization,0
model1-2,0,1,check the defect back,customer,0
model1-2,3,5,check the hardware,customer,0
model7-1,0,0,check the open leads,manager,0
model6-3,8,18,check the order again,masters,0
bicyclemanufacturing,5,9,check the required quantity,small company,0
model3-6,4,7,check the severity,organization,0
model3-5,1,1,clerk sorts into the various business areas,mail processing unit,0
model3-5,0,0,collect mail,mail processing unit,0
model9-6,10,17,combine both,,0
model6-1,17,35,complete the commercial audit,acme ag,0
model9-4,3,7,conduct a qa check,support,0
model3-2,3,6,conduct the directions hearings,,0
model6-1,10,25,consult the cost center managers again,acme ag,0
model8-2,4,7,correct the description,department,0
model2-2,19,29,create a cis contract,customer,0
model2-1,7,12,create a detailed problem report,customer,0
model8-2,0,1,create a job description,department,0
model2-1,14,27,create a notification,customer,0
model4-1,8,9,create a patient file,secretarial worker,0
model6-4,13,17,create a quotation,potential customers,0
model2-1,24,44,create a request,customer,0
model9-6,6,10,create a revised design,,0
model2-1,12,21,create a trouble report,customer,0
model2-1,12,22,create a trouble report,customer,0
model2-1,15,29,create a trouble report,customer,0
model2-1,29,54,create a trouble-shooting report,customer,0
model2-2,26,44,create the final billing,customer,0
model2-1,22,41,create the problem resolution report,customer,0
model2-1,9,14,deal on a first level with violations,customer,0
model2-2,20,31,decide to confirm the switch contract,customer,0
model2-2,20,30,decide to withdraw from the switch contract the switch contract,customer,0
model9-6,12,20,deem the designs complete,,0
hotelservice,8,17,deliver cart to the guests room,guest,0
model2-2,17,26,demand the resolution,customer,0
model9-6,1,2,design the electrical and physical systems,,0
model2-1,20,38,detect no problem,customer,0
model4-1,21,33,determine assignments,secretarial worker,0
model6-4,0,0,determine contact details,potential customers,0
model6-3,0,2,determine quantities well,masters,0
model6-4,5,7,determine the budget,potential customers,0
model6-4,5,6,determine the contact person,potential customers,0
model2-1,3,5,determine the necessary counter measures to include respective priorities,customer,0
model6-3,0,1,determine the necessary parts well,masters,0
model2-1,18,35,determine what counter measures should be taken depending on the information in the final status report,customer,0
model3-5,2,2,distribute mail,mail processing unit,0
model3-2,2,5,distribute the judges lawlist to the relevant people,,0
model9-3,0,0,draft a schedule in november,coordination unit,0
model1-4,10,19,enter into a firm commitment to buy,company,0
model3-6,2,3,evaluate the severity,organization,0
model3-3,0,1,examine a claim,claims officer,0
model4-1,29,45,examine the patient to use a standard checklist,secretarial worker,0
model1-2,5,8,execute arbitrary repair activity,customer,0
model3-5,5,7,explain the reason,mail processing unit,0
model8-1,1,4,fill the post,functional department,0
model8-1,2,5,fill the post,functional department,0
model9-4,0,0,finalize the dates,support,0
model1-2,5,9,finish the repair,customer,0
repairexample,10,15,finish to work on a phone,company,0
repairexample,1,1,fix different 3 types,company,0
repairexample,8,12,fix simple defects,company,0
model1-4,9,18,fix the issue price,company,0
model4-1,38,57,formulate a treatment plan together with the team-leader,secretarial worker,0
model3-1,2,4,forward the sct warrant possession to queensland police,party,0
hotelservice,3,4,give an order to fetch wine to the sommelier,guest,0
hotelservice,3,5,give an order to prepare other alcoholic beverages to the sommelier,guest,0
model6-1,17,36,give payment instructions,acme ag,0
model1-4,4,11,give seal,company,0
model4-1,6,6,hand in form,secretarial worker,0
model3-2,2,4,hand the files to the associate,,0
model9-4,2,5,hold meeting,support,0
repairexample,6,8,identify the problem,company,0
model2-1,16,31,include the normal execution notification in a status report,customer,0
model2-1,16,30,include trouble report in a status report,customer,0
model2-1,12,23,indicate the type,customer,0
model2-1,12,24,indicate the type,customer,0
model3-2,1,1,initiate a search,,0
model4-1,2,2,inquire after the name,secretarial worker,0
model9-6,3,5,interrupt development,,0
model2-1,10,16,investigate ,customer,0
model4-1,25,37,keep registration,secretarial worker,0
model6-4,7,11,leave the customer alone,potential customers,0
model4-1,4,4,make a full inquiry,secretarial worker,0
model1-4,0,0,make the decision to go,company,0
model6-1,13,30,make to approval for payment,acme ag,0
bicyclemanufacturing,0,0,manufacture customized bicycles,small company,0
runningexample,0,0,manufacture customized bicycles,small company,0
model6-1,8,18,mark positions,acme ag,0
model3-2,0,0,need to be check to make sure they are in order for the court hearing,,0
model3-5,3,4,open the mail,mail processing unit,0
bicyclemanufacturing,7,11,part is back-ordered,small company,0
model6-4,2,2,participate in exhibitions,potential customers,0
model4-1,24,36,pass the produced registration cards to the first and second intaker,secretarial worker,0
model3-5,4,6,perform a quality check,mail processing unit,0
model9-6,0,1,perform a task to distribute relevant existing designs,,0
model9-6,0,0,perform a task to locate ,,0
model2-1,12,19,perform the analysis,customer,0
model4-1,28,44,plan a meeting soon,secretarial worker,0
model4-1,33,50,plan the first meeting has been receive ,secretarial worker,0
model3-5,7,12,post an envelope to the party,mail processing unit,0
model4-1,26,39,prepare a letter requesting for a copy of the medical file,secretarial worker,0
model1-4,5,12,prepare a registration statement,company,0
bicyclemanufacturing,9,13,prepare everything in the meantime,small company,0
runningexample,9,12,prepare everything in the meantime,small company,0
model2-1,17,34,prepare the final status report based on the received information,customer,0
model1-4,3,10,present the facts fairly,company,0
model6-1,10,24,proceed with the clarification,acme ag,0
model5-3,0,0,process an office supply request,employee,0
model7-1,5,5,process the lead,manager,0
model6-2,2,2,process the order,assembler ag,0
bicyclemanufacturing,5,8,process the part list,small company,0
