,textid,sentenceID,activityID,activity,verb,object,IT system,process volume,repetitive,human intervention,GS
0,model2-2,22,35,accept ,accept,,0.0,low,0,1,0
1,model9-3,0,1,add draft dates to calendars,add,dates,0.0,low,0,1,0
2,model4-1,22,34,add information to the assignment list,add,information,0.0,low,0,1,0
3,model4-1,13,14,add new patient,add,patient,0.0,low,0,1,0
4,model4-1,32,49,add standard checklist to the patient s,add,checklist,0.0,low,0,1,0
5,model4-1,27,43,add the copy to the patient file,add,copy,0.0,low,0,1,0
6,model4-1,35,53,add the information to the patient file,add,information,0.0,low,0,1,0
7,model8-1,1,1,advertise post,advertise,post,0.0,low,0,1,0
8,model9-4,1,4,advise committee members,advise,members,0.0,low,0,1,0
9,model2-2,11,17,analyze the causing issues,analyze,issues,0.0,low,0,1,0
10,model2-1,15,28,analyze this,analyze,this,0.0,low,0,1,0
11,model8-1,1,2,apply ,apply,,0.0,low,0,1,0
12,model8-3,2,4,approve the job description,approve,description,0.0,low,0,1,0
13,model9-2,2,5,archive the work,archive,work,0.0,low,0,1,0
14,model1-4,8,16,arrange a road show to talk to potential investors,arrange,road,0.0,low,0,1,0
15,model8-3,2,3,ask again for corrections,ask,corrections,0.0,low,0,1,0
16,model6-4,6,10,ask the customer,ask,customer,0.0,low,0,1,0
17,model4-1,16,17,assign new patients to members,assign,patients,0.0,low,0,1,0
18,model4-1,17,18,assign patient to a social-medical worker,assign,patient,0.0,low,0,1,0
19,hotelservice,5,8,assign the order to the waiter,assign,order,0.0,low,0,1,0
20,model3-1,5,9,attach the new sct document,attach,document,0.0,low,0,1,0
21,model1-4,7,15,begin to firm up the issue price,begin,price,0.0,low,0,1,0
22,model1-2,0,0,bring in a defective computer,bring,computer,0.0,low,0,1,0
23,model6-4,2,1,buy details,buy,details,0.0,low,0,1,0
24,model1-4,2,6,buy the issue,buy,issue,0.0,low,0,1,0
25,model7-1,3,3,call customer,call,customer,0.0,low,0,1,0
26,hotelservice,1,1,call room service,call,service,0.0,low,0,1,0
27,model7-1,6,6,call the next customer,call,customer,0.0,low,0,1,0
28,model3-5,6,8,capture the matter details,capture,details,0.0,low,0,1,0
29,model3-5,8,13,capture the party details,capture,details,0.0,low,0,1,0
30,model2-2,18,28,carry out the termination,carry,termination,0.0,low,0,1,0
31,repairexample,4,6,categorize defect,categorize,defect,0.0,low,0,1,0
32,repairexample,5,7,categorize defects,categorize,defects,0.0,low,0,1,0
33,model3-3,2,3,check recommendation,check,recommendation,0.0,low,0,1,0
34,model2-2,16,23,check switch-over request,check,request,0.0,low,0,1,0
35,model2-1,13,26,check that,check,that,0.0,low,0,1,0
36,model8-1,1,3,check the applications,check,applications,0.0,low,0,1,0
37,model3-6,7,10,check the claimant again,check,claimant,0.0,low,0,1,0
38,model1-2,0,1,check the defect back,check,defect,0.0,low,0,1,0
39,model1-2,3,5,check the hardware,check,hardware,0.0,low,0,1,0
40,model7-1,0,0,check the open leads,check,leads,0.0,low,0,1,0
41,model6-3,8,18,check the order again,check,order,0.0,low,0,1,0
42,bicyclemanufacturing,5,9,check the required quantity,check,quantity,0.0,low,0,1,0
43,model3-6,4,7,check the severity,check,severity,0.0,low,0,1,0
44,model3-5,1,1,clerk sorts into the various business areas,clerk,sorts,0.0,low,0,1,0
45,model3-5,0,0,collect mail,collect,mail,0.0,low,0,1,0
46,model9-6,10,17,combine both,combine,both,0.0,low,0,1,0
47,model6-1,17,35,complete the commercial audit,complete,audit,0.0,low,0,1,0
48,model9-4,3,7,conduct a qa check,conduct,check,0.0,low,0,1,0
49,model3-2,3,6,conduct the directions hearings,conduct,hearings,0.0,low,0,1,0
50,model6-1,10,25,consult the cost center managers again,consult,managers,0.0,low,0,1,0
51,model8-2,4,7,correct the description,correct,description,0.0,low,0,1,0
52,model2-2,19,29,create a cis contract,create,contract,0.0,low,0,1,0
53,model2-1,7,12,create a detailed problem report,create,report,0.0,low,0,1,0
54,model8-2,0,1,create a job description,create,description,0.0,low,0,1,0
55,model2-1,14,27,create a notification,create,notification,0.0,low,0,1,0
56,model4-1,8,9,create a patient file,create,file,0.0,low,0,1,0
57,model6-4,13,17,create a quotation,create,quotation,0.0,low,0,1,0
58,model2-1,24,44,create a request,create,request,0.0,low,0,1,0
59,model9-6,6,10,create a revised design,create,design,0.0,low,0,1,0
60,model2-1,29,54,create a trouble-shooting report,create,report,0.0,low,0,1,0
61,model2-2,26,44,create the final billing,create,billing,0.0,low,0,1,0
62,model2-1,22,41,create the problem resolution report,create,report,0.0,low,0,1,0
63,model2-1,9,14,deal on a first level with violations,deal,violations,0.0,low,0,1,0
64,model2-2,20,31,decide to confirm the switch contract,confirm,contract,0.0,low,0,1,0
65,model2-2,20,30,decide to withdraw from the switch contract the switch contract,withdraw,contract,0.0,low,0,1,0
66,model9-6,12,20,deem the designs complete,deem,designs,0.0,low,0,1,0
67,hotelservice,8,17,deliver cart to the guests room,deliver,cart,0.0,low,0,1,0
68,model2-2,17,26,demand the resolution,demand,resolution,0.0,low,0,1,0
69,model9-6,1,2,design the electrical and physical systems,design,systems,0.0,low,0,1,0
70,model2-1,20,38,detect no problem,detect,problem,0.0,low,0,1,0
71,model4-1,21,33,determine assignments,determine,assignments,0.0,low,0,1,0
72,model6-4,0,0,determine contact details,determine,details,0.0,low,0,1,0
73,model6-3,0,2,determine quantities well,determine,quantities,0.0,low,0,1,0
74,model6-4,5,7,determine the budget,determine,budget,0.0,low,0,1,0
75,model6-4,5,6,determine the contact person,determine,person,0.0,low,0,1,0
