textid,sentenceID,activityID,activity,verb,object,IT system,process volume,repetitive,human intervention,GS
model2-2,22,35,accept ,accept,,0,low,0,1,0
bicyclemanufacturing,2,4,accept the order,accept,order,0,low,1,1,0
runningexample,2,4,accept the order,accept,order,0,low,1,1,0
model9-3,0,1,add draft dates to calendars,add,dates,0,low,0,1,0
model4-1,22,34,add information to the assignment list,add,information,0,low,0,1,0
model4-1,13,14,add new patient,add,patient,0,low,0,1,0
model4-1,32,49,add standard checklist to the patient s,add,checklist,0,low,0,1,0
model4-1,27,43,add the copy to the patient file,add,copy,0,low,0,1,0
model4-1,35,53,add the information to the patient file,add,information,0,low,0,1,0
model8-1,1,1,advertise post,advertise,post,0,low,0,1,0
model9-4,1,4,advise committee members,advise,members,0,low,0,1,0
model2-2,11,17,analyze the causing issues,analyze,issues,0,low,0,1,0
model2-1,15,28,analyze this,analyze,this,0,low,0,1,0
model8-1,1,2,apply ,apply,,0,low,0,1,0
model8-3,2,4,approve the job description,approve,description,0,low,0,1,0
model5-1,2,4,approve the loan,approve,loan,0,low,0,1,0
model5-2,2,4,approve the request,approve,request,0,low,1,1,0
model5-3,2,4,approve the request,approve,request,0,low,1,1,0
model9-2,2,5,archive the work,archive,work,0,low,0,1,0
model1-4,8,16,arrange a road show to talk to potential investors,arrange,road,0,low,0,1,0
model8-3,2,3,ask again for corrections,ask,corrections,0,low,0,1,0
model6-4,6,10,ask the customer,ask,customer,0,low,0,1,0
bicyclemanufacturing,10,16,assemble the bicycle,assemble,bicycle,0,low,1,1,0
runningexample,10,15,assemble the bicycle,assemble,bicycle,0,low,1,1,0
model4-1,16,17,assign new patients to members,assign,patients,0,low,0,1,0
model4-1,17,18,assign patient to a social-medical worker,assign,patient,0,low,0,1,0
hotelservice,5,8,assign the order to the waiter,assign,order,0,low,0,1,0
model3-1,5,9,attach the new sct document,attach,document,0,low,0,1,0
model1-4,7,15,begin to firm up the issue price,begin,price,0,low,0,1,0
model1-2,0,0,bring in a defective computer,bring,computer,0,low,0,1,0
