textid,sentenceID,activityID,activity,verb,object,IT system,process volume,repetitve,human intervention,GS
p1,2,4,discuss the problem,discuss,problem,0,low,0,1,0
p1,4,6,explain the solution,explain,solution,0,low,0,1,0
p1,5,7,conduct the problem,conduct,problem,0,low,0,1,0
p1,10,12,call the service provider,call,provider,0,low,0,1,0
p10,2,3,process the seat availabilty,process,availabilty,0,low,0,1,0
p10,6,7,check the rejection notification,check,notification,0,low,0,1,0
p100,0,1,receive the goods,receive,goods,0,medium,1,1,0
p100,1,2,check the goods,check,goods,0,low,0,1,0
p100,10,11,identify the issue,identify,issue,0,low,0,1,0
p100,11,12,return the goods,return,goods,0,low,1,1,0
p100,12,13,prepare the inspection list,prepare,list,0,low,0,1,0
p101,2,2,package the goods,package,goods,0,low,1,1,0
p101,3,3,decide the normal order,decide,order,0,low,0,1,0
p101,3,4,decide special shipment,decide,shipment,0,low,0,1,0
p101,5,5,find the special carrier,find,carrier,0,low,0,1,0
p101,6,6,assign the carrier,assign,carrier,0,low,1,1,0
p101,7,7,prepare the paperwork,prepare,paperwork,0,low,0,1,0
p101,8,8,finalize the shipment,finalize,shipment,0,low,0,1,0
p101,9,9,find the normal post,find,post,0,low,0,1,0
p101,10,11,check extra insurrance,check,insurrance,0,low,0,1,0
p101,11,12,find the extra insurance to require ,find,insurance,0,low,0,1,0
p101,12,13,fill out form,fill,form,0,low,0,1,0
p101,14,16,add the paper work,add,paperwork,0,low,0,1,0
p101,15,17,move the package,move,package,0,low,1,1,0
p102,0,1,decide a menu,decide,menu,0,low,0,1,0
p102,0,2,decide budgets,decide,budgets,0,low,0,1,0
p102,1,3,prepare the order list,prepare,list,0,low,0,1,0
p102,4,6,check the availability,check,availability,0,medium,1,1,0
p102,8,9,find the available order,find,order,0,low,0,1,0
p102,9,10,collect the items,collect,items,0,low,0,1,0
p102,18,15,starts the cooking,starts,cooking,0,low,0,1,0
p102,20,16,dispatch the order,dispatch,order,0,low,0,1,0
p103,1,2,check the status,check,status,0,low,0,1,0
p103,4,3,reserve the inventory,reserve,inventory,0,low,0,1,0
p103,5,4,find the available address,find,address,0,low,0,1,0
p103,6,5,validate the address,validate,address,0,low,0,1,0
p103,7,7,review the order,review,order,0,medium,1,1,0
p103,10,10,check the other requirments,check,requirments,0,low,0,1,0
p103,11,11,reject the order,reject,order,0,medium,1,1,0
p103,13,14,fulfil the order,fulfil,order,0,low,1,1,0
p103,18,19,create the code,create,code,0,low,0,1,0
p103,19,21,plan the shipment,plan,shipment,0,low,0,1,0
p103,21,24,complete the order,complete,order,0,low,1,1,0
p104,1,1,get the model requirments,get,requirments,0,low,0,1,0
p104,5,4,list the requirments,list,requirments,0,low,0,1,0
p104,6,5,verify the requirments,verify,requirments,0,low,0,1,0
p104,9,7,reject the requirments,reject,requirments,0,low,0,1,0
